feature_method,transform_method,model_type,accuracy,roc_auc,pr_auc,n_features
model_based,standard,ridge,0.500980798877331,0.5017433615819551,0.49924948185639756,20
model_based,standard,logistic,0.5011139621713812,0.5018867086934495,0.4994896042918723,20
model_based,standard,rf,0.5004481457011304,0.5005146482888613,0.4989076579096456,20
model_based,quantile,ridge,0.5018309952931898,0.5012952689486315,0.49951898126209543,20
model_based,quantile,logistic,0.502051226894888,0.501375053976045,0.4995050646519161,20
model_based,quantile,rf,0.5011754221532505,0.5015717054414278,0.4997184037235265,20
mutual_info,standard,ridge,0.5003354690677033,0.5013604268172025,0.4987583672232692,15
mutual_info,standard,logistic,0.5006171606512709,0.5015691849864695,0.49905998681065283,15
mutual_info,standard,rf,0.5005761873300247,0.5008138176674053,0.4992452219829888,15
mutual_info,quantile,ridge,0.5006325256467382,0.5009781650551599,0.49915498640470096,15
mutual_info,quantile,logistic,0.5003969290495726,0.5008738664234151,0.49906267586736774,15
mutual_info,quantile,rf,0.5010525021895118,0.5008756277829405,0.4989551483923673,15
