Group,Train_Samples,Test_Samples,Best_Params,Accuracy,ROC_AUC,PR_AUC,Report
5.0,16573,7930,{'C': np.float64(100.0)},0.5013871374527112,0.5023020266027229,0.5041565331581362,"              precision    recall  f1-score   support

       False       0.49      0.07      0.13      3938
        True       0.50      0.92      0.65      3992

    accuracy                           0.50      7930
   macro avg       0.49      0.50      0.39      7930
weighted avg       0.49      0.50      0.39      7930
"
3.0,53418,27120,{'C': np.float64(0.001)},0.5082227138643067,0.5051763590705682,0.4957155307242955,"              precision    recall  f1-score   support

       False       0.51      0.63      0.56     13775
        True       0.50      0.39      0.44     13345

    accuracy                           0.51     27120
   macro avg       0.51      0.51      0.50     27120
weighted avg       0.51      0.51      0.50     27120
"
8.0,63535,29752,{'C': np.float64(0.01)},0.49643721430492066,0.49607963311646386,0.49380057994775517,"              precision    recall  f1-score   support

       False       0.50      0.66      0.57     14941
        True       0.49      0.34      0.40     14811

    accuracy                           0.50     29752
   macro avg       0.50      0.50      0.48     29752
weighted avg       0.50      0.50      0.48     29752
"
1.0,20655,11607,{'C': np.float64(0.01)},0.49814766950977857,0.4976318744425389,0.4838612451694754,"              precision    recall  f1-score   support

       False       0.51      0.26      0.35      5904
        True       0.49      0.74      0.59      5703

    accuracy                           0.50     11607
   macro avg       0.50      0.50      0.47     11607
weighted avg       0.50      0.50      0.47     11607
"
2.0,18394,9130,{'C': np.float64(0.1)},0.49671412924424974,0.4995773387539548,0.4952328915508742,"              precision    recall  f1-score   support

       False       0.50      0.54      0.52      4597
        True       0.49      0.45      0.47      4533

    accuracy                           0.50      9130
   macro avg       0.50      0.50      0.50      9130
weighted avg       0.50      0.50      0.50      9130
"
4.0,59654,27729,{'C': np.float64(0.1)},0.5068700638320891,0.5093651511585489,0.5118822202196632,"              precision    recall  f1-score   support

       False       0.50      0.77      0.61     13785
        True       0.52      0.25      0.34     13944

    accuracy                           0.51     27729
   macro avg       0.51      0.51      0.47     27729
weighted avg       0.51      0.51      0.47     27729
"
7.0,81034,40655,{'C': np.float64(1.0)},0.4999139097282007,0.5001004919419403,0.4953350903336656,"              precision    recall  f1-score   support

       False       0.50      0.51      0.51     20527
        True       0.49      0.49      0.49     20128

    accuracy                           0.50     40655
   macro avg       0.50      0.50      0.50     40655
weighted avg       0.50      0.50      0.50     40655
"
11.0,3042,3742,{'C': np.float64(1.0)},0.4911811865312667,0.49528081298169946,0.5053781431923794,"              precision    recall  f1-score   support

       False       0.49      0.70      0.58      1859
        True       0.49      0.28      0.36      1883

    accuracy                           0.49      3742
   macro avg       0.49      0.49      0.47      3742
weighted avg       0.49      0.49      0.47      3742
"
10.0,12942,5733,{'C': np.float64(0.1)},0.5016570730856446,0.5024144159055945,0.5068031994806216,"              precision    recall  f1-score   support

       False       0.39      0.01      0.01      2848
        True       0.50      0.99      0.67      2885

    accuracy                           0.50      5733
   macro avg       0.45      0.50      0.34      5733
weighted avg       0.45      0.50      0.34      5733
"
6.0,48430,26719,{'C': np.float64(0.001)},0.49481642277031324,0.5025229134430351,0.5059122109782701,"              precision    recall  f1-score   support

       False       0.49      0.95      0.65     13235
        True       0.49      0.04      0.08     13484

    accuracy                           0.49     26719
   macro avg       0.49      0.50      0.37     26719
weighted avg       0.49      0.49      0.36     26719
"
0.0,4410,1897,{'C': np.float64(0.001)},0.5176594623089088,0.5058386931653795,0.5168161811794398,"              precision    recall  f1-score   support

       False       0.50      0.52      0.51       917
        True       0.53      0.52      0.53       980

    accuracy                           0.52      1897
   macro avg       0.52      0.52      0.52      1897
weighted avg       0.52      0.52      0.52      1897
"
9.0,4560,3235,{'C': np.float64(0.001)},0.5072642967542503,0.5072965183632614,0.4962900354824682,"              precision    recall  f1-score   support

       False       0.51      0.94      0.66      1646
        True       0.49      0.06      0.11      1589

    accuracy                           0.51      3235
   macro avg       0.50      0.50      0.38      3235
weighted avg       0.50      0.51      0.39      3235
"
